id,gene_name,biotype,chromosome,description,human_homolog,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000000001,Gnai3,protein_coding,3,"guanine nucleotide binding protein (G protein), alpha inhibiting 3",GNAI3,1250.091754,0.114653238,0.126003346,0.909953375,0.362847099,0.500575702
ENSMUSG00000000028,Cdc45,protein_coding,16,cell division cycle 45,CDC45,132.7210275,-1.428270959,0.243242751,-5.860493798,4.61493E-09,3.95248E-08
ENSMUSG00000000031,H19,lincRNA,7,"H19, imprinted maternally expressed transcript",,603.5428985,-0.22446202,0.155422639,-1.444190467,0.148685406,0.253181073
ENSMUSG00000000049,Apoh,protein_coding,11,apolipoprotein H,APOH,86.73178891,1.008097278,0.292491701,3.448292664,0.000564142,0.002092188
ENSMUSG00000000056,Narf,protein_coding,11,nuclear prelamin A recognition factor,NARF,1340.327144,1.187732426,0.133290515,8.910897875,5.06209E-19,1.19422E-17
ENSMUSG00000000058,Cav2,protein_coding,6,caveolin 2,CAV2,80.41530144,-0.425003296,0.29879014,-1.421886188,0.155059293,0.261785403
ENSMUSG00000000078,Klf6,protein_coding,13,Kruppel-like factor 6,KLF6,7266.591498,1.030869061,0.122196596,8.436208791,3.27797E-17,6.45482E-16
ENSMUSG00000000085,Scmh1,protein_coding,4,sex comb on midleg homolog 1,SCMH1,156.6217248,0.005534317,0.225465969,0.024364202,0.980562102,0.989394414
ENSMUSG00000000088,Cox5a,protein_coding,9,cytochrome c oxidase subunit 5A,COX5A,916.3278476,0.04892527,0.176759925,0.276735336,0.781983337,0.856520634
ENSMUSG00000000093,Tbx2,protein_coding,11,T-box 2,TBX2,47.0062037,0.881128588,0.38481792,2.29697883,0.021619977,0.051340996
ENSMUSG00000000094,Tbx4,protein_coding,11,T-box 4,TBX4,10.89241534,1.066910085,0.631448909,1.708216506,0.087596177,0.165997012
ENSMUSG00000000120,Ngfr,protein_coding,11,"nerve growth factor receptor (TNFR superfamily, member 16)",NGFR,3.073948814,0.505502537,0.743170908,0.919746103,0.357705454,
ENSMUSG00000000126,Wnt9a,protein_coding,11,"wingless-type MMTV integration site family, member 9A",WNT9A,7.436541115,0.517949118,0.686534661,0.77277097,0.439657937,0.575827642
ENSMUSG00000000127,Fer,protein_coding,17,fer (fms/fps related) protein kinase,FER,250.6163825,1.249490545,0.202298527,6.175471924,6.59661E-10,6.24408E-09
ENSMUSG00000000131,Xpo6,protein_coding,7,exportin 6,XPO6,700.5568921,-0.424135115,0.156887761,-2.703336215,0.006864727,0.019262916
ENSMUSG00000000134,Tfe3,protein_coding,X,transcription factor E3,TFE3,416.1046093,-0.470801071,0.157738726,-2.984515809,0.002840275,0.008898547
ENSMUSG00000000142,Axin2,protein_coding,11,axin 2,AXIN2,5.301295691,-1.465314653,0.716227604,-1.960214412,0.049970735,0.104455632
ENSMUSG00000000148,Brat1,protein_coding,5,BRCA1-associated ATM activator 1,BRAT1,185.2944248,-0.036658558,0.208688725,-0.175690549,0.860537061,0.911172731
ENSMUSG00000000149,Gna12,protein_coding,5,"guanine nucleotide binding protein, alpha 12",GNA12,1049.744861,-0.514476265,0.136505401,-3.76880664,0.00016403,0.000683054
ENSMUSG00000000154,Slc22a18,protein_coding,7,"solute carrier family 22 (organic cation transporter), member 18",SLC22A18,10.5544375,-0.327178115,0.617889844,-0.525727392,0.599077629,0.715938823
